Exp,Year,Plot,Strip,family,Species5,Species,tipLabel,NumSp,SpNum,FgNum,Fgset,biomass,Achillea_millefolium,Elymus_smithii,Amorpha_canescens,Andropogon_gerardi,Asclepias_tuberosa,Elymus_canadensis,Koeleria_pyramidata,Lespedeza_capitata,Liatris_aspera,Lupinus_perennis,Monarda_fistulosa,Panicum_virgatum,Dalea_purpurea,Poa_pratensis,Quercus_ellipsoidalis,Quercus_macrocarpa,Schizachyrium_scoparium,Sorghastrum_nutans,id,species,pa
120,2001,2,3,Fabaceae,Lesca,Lespedeza capitata,Lespedeza_capitata,1,1,1,L,61.542,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1_2_Lesca,Lesca,1
120,2001,3,3,Asteraceae,Liaas,Liatris aspera,Liatris_aspera,4,5,2,4F,21.437,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,4_3_Liaas,Liaas,1
120,2001,3,3,Lamiaceae,Monfi,Monarda fistulosa,Monarda_fistulosa,4,5,2,4F,2.585,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,4_3_Monfi,Monfi,1
120,2001,3,3,Poaceae,Panvi,Panicum virgatum,Panicum_virgatum,4,5,2,4F,15.057,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,4_3_Panvi,Panvi,1
120,2001,5,3,Poaceae,Andge,Andropogon gerardi,Andropogon_gerardi,1,1,1,4,75.335,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_5_Andge,Andge,1
120,2001,6,3,Poaceae,Panvi,Panicum virgatum,Panicum_virgatum,2,2,1,4,4.717,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2_6_Panvi,Panvi,1
120,2001,6,3,Poaceae,Schsc,Schizachyrium scoparium,Schizachyrium_scoparium,2,2,1,4,43.767,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2_6_Schsc,Schsc,1
120,2001,9,3,Asteraceae,Achmi,Achillea millefolium(lanulosa),Achillea_millefolium,16,17,5,34FLW,18.2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,16_9_Achmi,Achmi,1
120,2001,9,3,Poaceae,Andge,Andropogon gerardi,Andropogon_gerardi,16,17,5,34FLW,11.667,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,16_9_Andge,Andge,1
120,2001,9,3,Fabaceae,Lesca,Lespedeza capitata,Lespedeza_capitata,16,17,5,34FLW,6.983,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,16_9_Lesca,Lesca,1
120,2001,9,3,Asteraceae,Liaas,Liatris aspera,Liatris_aspera,16,17,5,34FLW,4.367,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,16_9_Liaas,Liaas,1
120,2001,9,3,Fabaceae,Luppe,Lupinus perennis,Lupinus_perennis,16,17,5,34FLW,106.583,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,16_9_Luppe,Luppe,1
120,2001,9,3,Lamiaceae,Monfi,Monarda fistulosa,Monarda_fistulosa,16,17,5,34FLW,9.067,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,16_9_Monfi,Monfi,1
120,2001,9,3,Poaceae,Panvi,Panicum virgatum,Panicum_virgatum,16,17,5,34FLW,0.817,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,16_9_Panvi,Panvi,1
120,2001,9,3,Poaceae,Poapr,Poa pratensis,Poa_pratensis,16,17,5,34FLW,7.367,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,16_9_Poapr,Poapr,1
120,2001,9,3,Poaceae,Schsc,Schizachyrium scoparium,Schizachyrium_scoparium,16,17,5,34FLW,12.317,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,16_9_Schsc,Schsc,1
