"","LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr","X"
"1","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus macrocarpa",45424,"Quercus macrocarpa",221182,2324662,NA,"",59,"Latitude","Latitude","41.67","dec","Single","","","",41.67,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"2","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus macrocarpa",45424,"Quercus macrocarpa",221182,2324663,NA,"",60,"Longitude","Longitude","-91.53","dec","Single","","","",-91.53,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"3","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus macrocarpa",45424,"Quercus macrocarpa",221183,2324677,NA,"",59,"Latitude","Latitude","41.67","dec","Single","","","",41.67,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"4","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus macrocarpa",45424,"Quercus macrocarpa",221183,2324678,NA,"",60,"Longitude","Longitude","-91.53","dec","Single","","","",-91.53,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"5","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus macrocarpa",45424,"Quercus macrocarpa",221184,2324692,NA,"",59,"Latitude","Latitude","41.67","dec","Single","","","",41.67,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"6","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus macrocarpa",45424,"Quercus macrocarpa",221184,2324693,NA,"",60,"Longitude","Longitude","-91.53","dec","Single","","","",-91.53,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"7","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",221185,2324707,NA,"",59,"Latitude","Latitude","41.67","dec","Single","","","",41.67,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"8","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",221185,2324708,NA,"",60,"Longitude","Longitude","-91.53","dec","Single","","","",-91.53,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"9","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",221186,2324722,NA,"",59,"Latitude","Latitude","41.67","dec","Single","","","",41.67,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"10","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",221186,2324723,NA,"",60,"Longitude","Longitude","-91.53","dec","Single","","","",-91.53,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
