Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]
0	0	-2040.455	-2091.613	51.15772	0.367879	0.366788	0.367463	0.368556	0.368405	0.368685	0.369008	0.369418	0.368464	0.36875
1	1	-2024.172	-2091.613	67.44141	0.367879	0.36823	0.366686	0.366503	0.369635	0.369787	0.369466	0.369546	0.37076	0.369749
2	0	-1574.887	-1626.045	51.15772	0.950567	0.947747	0.949492	0.952315	0.951925	0.952647	0.953484	0.954543	0.952076	0.952816
3	1	-1558.804	-1626.246	67.44141	0.948691	0.948896	0.949286	0.946697	0.946224	0.949333	0.950237	0.949412	0.945431	0.953512
4	0	-1573.918	-1625.075	51.15772	0.971111	0.96823	0.970013	0.972897	0.972499	0.973237	0.974091	0.975173	0.972653	0.973409
5	1	-1558.276	-1625.717	67.44141	0.954086	0.950086	0.958207	0.95912	0.958287	0.957807	0.960954	0.961349	0.958727	0.958935
6	0	-1573.939	-1625.097	51.15772	0.972631	0.970117	0.970871	0.971723	0.972803	0.972404	0.973142	0.974934	0.977833	0.974932
7	1	-1558.481	-1625.923	67.44141	0.986558	0.986772	0.987177	0.984485	0.983993	0.987226	0.988166	0.987308	0.983169	0.991572
8	0	-1574.213	-1625.37	51.15772	0.958986	0.959731	0.957251	0.958315	0.959156	0.959884	0.959491	0.962344	0.964116	0.961255
9	1	-1557.641	-1625.082	67.44141	0.971716	0.97123	0.972155	0.972554	0.968477	0.968687	0.976967	0.974302	0.973456	0.976655
10	0	-1574.23	-1625.388	51.15772	0.979948	0.980809	0.980407	0.977874	0.979674	0.980436	0.977527	0.978613	0.981523	0.982267
11	1	-1557.727	-1625.168	67.44141	0.975339	0.983676	0.982822	0.978701	0.981917	0.982852	0.980172	0.979682	0.979894	0.980297
12	0	-1574.537	-1625.695	51.15772	0.984121	0.984885	0.98234	0.983432	0.984295	0.985042	0.984638	0.987566	0.989385	0.98645
13	1	-1557.855	-1625.296	67.44141	0.960362	0.956336	0.96451	0.965429	0.96459	0.964108	0.967276	0.967673	0.965034	0.965243
14	0	-1574.359	-1625.517	51.15772	0.956693	0.959538	0.960266	0.957417	0.95848	0.960245	0.960991	0.960598	0.958116	0.958957
15	1	-1557.922	-1625.363	67.44141	0.95911	0.960023	0.955999	0.955521	0.963688	0.964083	0.963246	0.963455	0.966621	0.963984
16	0	-1574.144	-1625.302	51.15772	0.960247	0.963102	0.960245	0.960973	0.962743	0.963812	0.963418	0.964166	0.965013	0.962519
17	1	-1558.166	-1625.608	67.44141	0.955457	0.955849	0.956056	0.955578	0.952972	0.95388	0.957014	0.953002	0.952174	0.960313
18	0	-1574.184	-1625.342	51.15772	0.979162	0.978761	0.980564	0.981425	0.978513	0.975985	0.978887	0.979647	0.980391	0.98148
19	1	-1558.656	-1626.097	67.44141	0.988208	0.987714	0.98812	0.989061	0.989276	0.985128	0.982442	0.990839	0.994094	0.993231
20	0	-1575.486	-1626.643	51.15772	0.992613	0.989668	0.991491	0.994439	0.994031	0.994786	0.995659	0.996765	0.994189	0.994962
21	1	-1557.743	-1625.184	67.44141	0.962943	0.966107	0.963473	0.962636	0.962845	0.971074	0.971473	0.9674	0.966917	0.967838
22	0	-1573.955	-1625.112	51.15772	0.965401	0.966133	0.967206	0.970082	0.970836	0.967956	0.965455	0.967233	0.968082	0.967685
