Iteration	Posterior	Likelihood	Prior	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]
0	-2024.172	-2091.613	67.44141	0.367879	0.36823	0.366686	0.366503	0.369635	0.369787	0.369466	0.369546	0.37076	0.369749
10	-1558.804	-1626.246	67.44141	0.948691	0.948896	0.949286	0.946697	0.946224	0.949333	0.950237	0.949412	0.945431	0.953512
20	-1558.276	-1625.717	67.44141	0.954086	0.950086	0.958207	0.95912	0.958287	0.957807	0.960954	0.961349	0.958727	0.958935
30	-1558.481	-1625.923	67.44141	0.986558	0.986772	0.987177	0.984485	0.983993	0.987226	0.988166	0.987308	0.983169	0.991572
40	-1557.641	-1625.082	67.44141	0.971716	0.97123	0.972155	0.972554	0.968477	0.968687	0.976967	0.974302	0.973456	0.976655
50	-1557.727	-1625.168	67.44141	0.975339	0.983676	0.982822	0.978701	0.981917	0.982852	0.980172	0.979682	0.979894	0.980297
60	-1557.855	-1625.296	67.44141	0.960362	0.956336	0.96451	0.965429	0.96459	0.964108	0.967276	0.967673	0.965034	0.965243
70	-1557.922	-1625.363	67.44141	0.95911	0.960023	0.955999	0.955521	0.963688	0.964083	0.963246	0.963455	0.966621	0.963984
80	-1558.166	-1625.608	67.44141	0.955457	0.955849	0.956056	0.955578	0.952972	0.95388	0.957014	0.953002	0.952174	0.960313
90	-1558.656	-1626.097	67.44141	0.988208	0.987714	0.98812	0.989061	0.989276	0.985128	0.982442	0.990839	0.994094	0.993231
100	-1557.743	-1625.184	67.44141	0.962943	0.966107	0.963473	0.962636	0.962845	0.971074	0.971473	0.9674	0.966917	0.967838
110	-1557.731	-1625.173	67.44141	0.975469	0.975681	0.976081	0.973419	0.972933	0.976129	0.977059	0.976211	0.972118	0.980427
120	-1557.626	-1625.068	67.44141	0.968931	0.969141	0.966498	0.966895	0.970071	0.969586	0.968744	0.969667	0.977955	0.973855
130	-1557.727	-1625.168	67.44141	0.963406	0.966572	0.963936	0.963099	0.963307	0.971541	0.97194	0.967865	0.967381	0.968303
140	-1557.751	-1625.193	67.44141	0.962712	0.962921	0.963316	0.960689	0.960208	0.963363	0.964281	0.963443	0.959404	0.967605
150	-1558.071	-1625.513	67.44141	0.981816	0.979139	0.979351	0.982569	0.982972	0.982118	0.981627	0.990018	0.990961	0.986806
160	-1559.163	-1626.604	67.44141	0.945685	0.948792	0.946204	0.945382	0.945587	0.95367	0.954061	0.950061	0.949586	0.950491
170	-1557.628	-1625.07	67.44141	0.970361	0.978654	0.977805	0.973705	0.976904	0.977835	0.975168	0.974681	0.974892	0.975292
180	-1558.983	-1626.425	67.44141	0.947141	0.950253	0.947662	0.946839	0.947044	0.955139	0.955531	0.951525	0.951049	0.951955
190	-1557.626	-1625.067	67.44141	0.969506	0.977792	0.973693	0.972847	0.973774	0.976974	0.976485	0.973822	0.974222	0.974433
200	-1557.658	-1625.099	67.44141	0.972759	0.981073	0.97696	0.976112	0.977042	0.980252	0.979762	0.97709	0.977491	0.977703
210	-1557.993	-1625.434	67.44141	0.957935	0.957457	0.957849	0.958762	0.95897	0.95495	0.952345	0.960485	0.963641	0.962804
220	-1558.013	-1625.454	67.44141	0.957619	0.953604	0.954513	0.962671	0.96219	0.961354	0.961749	0.964909	0.965118	0.962486
230	-1557.736	-1625.178	67.44141	0.963127	0.96229	0.965452	0.973704	0.971048	0.966977	0.967187	0.968109	0.968506	0.968022
240	-1557.822	-1625.264	67.44141	0.977673	0.977184	0.978115	0.978517	0.974414	0.974626	0.982956	0.980275	0.979424	0.982642
250	-1557.635	-1625.076	67.44141	0.971214	0.979515	0.978664	0.974561	0.977763	0.978695	0.976026	0.975538	0.975749	0.97615
260	-1557.631	-1625.073	67.44141	0.967976	0.967492	0.968414	0.968811	0.96475	0.964959	0.973207	0.970553	0.96971	0.972896
270	-1557.978	-1625.419	67.44141	0.980447	0.983668	0.980986	0.980134	0.980346	0.988725	0.989131	0.984984	0.984492	0.98543
280	-1557.688	-1625.129	67.44141	0.964717	0.965636	0.961587	0.961107	0.969321	0.969719	0.968877	0.969087	0.972271	0.96962
290	-1558.24	-1625.681	67.44141	0.983962	0.984899	0.98077	0.980279	0.988658	0.989064	0.988205	0.988419	0.991667	0.988963
300	-1558.855	-1626.296	67.44141	0.989924	0.998385	0.997518	0.993336	0.9966	0.997549	0.994829	0.994331	0.994547	0.994955
310	-1558.871	-1626.312	67.44141	0.948099	0.948488	0.948014	0.94822	0.949123	0.946535	0.942566	0.945663	0.953746	0.952918
320	-1557.974	-1625.416	67.44141	0.958229	0.958623	0.958143	0.958351	0.959264	0.956648	0.952638	0.955768	0.963937	0.9631
330	-1557.709	-1625.151	67.44141	0.963954	0.964349	0.964559	0.964076	0.961447	0.962363	0.965525	0.961477	0.960642	0.968853
