Iteration	Replicate_ID	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
0	0	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
1	1	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
2	0	-2040.455	-2091.613	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
3	1	-2024.172	-2091.613	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
4	0	-2040.455	-2091.613	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
5	1	-2024.172	-2091.613	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
6	0	-1574.887	-1626.045	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
7	1	-1558.804	-1626.246	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
8	0	-1574.887	-1626.045	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
9	1	-1558.804	-1626.246	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
10	0	-1573.918	-1625.075	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
11	1	-1558.276	-1625.717	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
12	0	-1573.918	-1625.075	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
13	1	-1558.276	-1625.717	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
14	0	-1573.939	-1625.097	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
15	1	-1558.481	-1625.923	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
16	0	-1573.939	-1625.097	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
17	1	-1558.481	-1625.923	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
18	0	-1574.213	-1625.37	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
19	1	-1557.641	-1625.082	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
20	0	-1574.213	-1625.37	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
21	1	-1557.641	-1625.082	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
22	0	-1574.23	-1625.388	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
23	1	-1557.727	-1625.168	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
24	0	-1574.23	-1625.388	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
25	1	-1557.727	-1625.168	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
26	0	-1574.537	-1625.695	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
27	1	-1557.855	-1625.296	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
28	0	-1574.537	-1625.695	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
29	1	-1557.855	-1625.296	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
30	0	-1574.359	-1625.517	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
31	1	-1557.922	-1625.363	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
32	0	-1574.359	-1625.517	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
33	1	-1557.922	-1625.363	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
34	0	-1574.144	-1625.302	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
35	1	-1558.166	-1625.608	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
36	0	-1574.144	-1625.302	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
37	1	-1558.166	-1625.608	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
38	0	-1574.184	-1625.342	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
39	1	-1558.656	-1626.097	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
40	0	-1574.184	-1625.342	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
41	1	-1558.656	-1626.097	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
42	0	-1575.486	-1626.643	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
