Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
0	-2040.455	-2091.613	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
0	-2040.455	-2091.613	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
10	-1574.887	-1626.045	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
10	-1574.887	-1626.045	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
20	-1573.918	-1625.075	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
20	-1573.918	-1625.075	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
30	-1573.939	-1625.097	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
30	-1573.939	-1625.097	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
40	-1574.213	-1625.37	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
40	-1574.213	-1625.37	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
50	-1574.23	-1625.388	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
50	-1574.23	-1625.388	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
60	-1574.537	-1625.695	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
60	-1574.537	-1625.695	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
70	-1574.359	-1625.517	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
70	-1574.359	-1625.517	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
80	-1574.144	-1625.302	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
80	-1574.144	-1625.302	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
90	-1574.184	-1625.342	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
90	-1574.184	-1625.342	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
100	-1575.486	-1626.643	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
100	-1575.486	-1626.643	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
110	-1573.955	-1625.112	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
110	-1573.955	-1625.112	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
120	-1574.11	-1625.268	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
120	-1574.11	-1625.268	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
130	-1573.909	-1625.067	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
130	-1573.909	-1625.067	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
140	-1575.005	-1626.162	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
140	-1575.005	-1626.162	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
150	-1573.91	-1625.068	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
150	-1573.91	-1625.068	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
160	-1574.11	-1625.268	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
160	-1574.11	-1625.268	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
170	-1573.946	-1625.104	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
170	-1573.946	-1625.104	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
180	-1573.929	-1625.087	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
180	-1573.929	-1625.087	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
190	-1574.592	-1625.75	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
190	-1574.592	-1625.75	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
200	-1573.926	-1625.084	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
200	-1573.926	-1625.084	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
210	-1574.181	-1625.338	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
210	-1574.181	-1625.338	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
220	-1579.167	-1630.325	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
220	-1579.167	-1630.325	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
230	-1574.195	-1625.353	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
230	-1574.195	-1625.353	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
240	-1573.919	-1625.076	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
240	-1573.919	-1625.076	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
250	-1573.915	-1625.072	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
250	-1573.915	-1625.072	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
260	-1573.965	-1625.123	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
260	-1573.965	-1625.123	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
270	-1574.364	-1625.521	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
270	-1574.364	-1625.521	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
