Iteration	Posterior	Likelihood	Prior	delta_log_lambda[1]	delta_log_lambda[2]	delta_log_lambda[3]	delta_log_lambda[4]	delta_log_lambda[5]	delta_log_lambda[6]	delta_log_lambda[7]	delta_log_lambda[8]	delta_log_lambda[9]	delta_log_mu[1]	delta_log_mu[2]	delta_log_mu[3]	delta_log_mu[4]	delta_log_mu[5]	delta_log_mu[6]	delta_log_mu[7]	delta_log_mu[8]	delta_log_mu[9]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda_global_scale	log_lambda_at_present	log_mu_at_present	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu_global_scale	sigma_lambda[1]	sigma_lambda[2]	sigma_lambda[3]	sigma_lambda[4]	sigma_lambda[5]	sigma_lambda[6]	sigma_lambda[7]	sigma_lambda[8]	sigma_lambda[9]	sigma_mu[1]	sigma_mu[2]	sigma_mu[3]	sigma_mu[4]	sigma_mu[5]	sigma_mu[6]	sigma_mu[7]	sigma_mu[8]	sigma_mu[9]
0	-2040.455	-2091.613	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002971055	0.001839677	0.002968987	-0.0004095664	0.0007585152	0.0008774975	0.001110184	-0.002587288	0.0007767385	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-1	0.367879	0.366788	0.367463	0.368556	0.368405	0.368685	0.369008	0.369418	0.368464	0.36875	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09301229	0.08914457	0.09215622	0.08769808	0.03556038	0.02375092	0.02997937	0.07552294	0.04672601
10	-1574.887	-1626.045	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002971055	0.001839677	0.002968987	-0.0004095664	0.0007585152	0.0008774975	0.001110184	-0.002587288	0.0007767385	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.05069697	0.950567	0.947747	0.949492	0.952315	0.951925	0.952647	0.953484	0.954543	0.952076	0.952816	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09301229	0.08914457	0.09215622	0.08769808	0.03556038	0.02375092	0.02997937	0.07552294	0.04672601
20	-1573.918	-1625.075	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002971055	0.001839677	0.002968987	-0.0004095664	0.0007585152	0.0008774975	0.001110184	-0.002587288	0.0007767385	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02931468	0.971111	0.96823	0.970013	0.972897	0.972499	0.973237	0.974091	0.975173	0.972653	0.973409	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09301229	0.08914457	0.09215622	0.08769808	0.03556038	0.02375092	0.02997937	0.07552294	0.04672601
30	-1573.939	-1625.097	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.002587288	0.0007767385	0.0008774975	0.001110184	-0.0004095664	0.0007585152	0.001839677	0.002968987	-0.002971055	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02775102	0.972631	0.970117	0.970871	0.971723	0.972803	0.972404	0.973142	0.974934	0.977833	0.974932	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.07552294	0.04672601	0.02375092	0.02997937	0.08769808	0.03556038	0.08914457	0.09215622	0.09301229
40	-1574.213	-1625.37	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007767385	-0.002587288	0.001110184	0.0008774975	0.0007585152	-0.0004095664	0.002968987	0.001839677	-0.002971055	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.04187883	0.958986	0.959731	0.957251	0.958315	0.959156	0.959884	0.959491	0.962344	0.964116	0.961255	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.04672601	0.07552294	0.02997937	0.02375092	0.03556038	0.08769808	0.09215622	0.08914457	0.09301229
50	-1574.23	-1625.388	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0008774975	-0.0004095664	-0.002587288	0.001839677	0.0007767385	-0.002971055	0.001110184	0.002968987	0.0007585152	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.0202553	0.979948	0.980809	0.980407	0.977874	0.979674	0.980436	0.977527	0.978613	0.981523	0.982267	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.02375092	0.08769808	0.07552294	0.08914457	0.04672601	0.09301229	0.02997937	0.09215622	0.03556038
60	-1574.537	-1625.695	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.0007767385	-0.002587288	0.001110184	0.0008774975	0.0007585152	-0.0004095664	0.002968987	0.001839677	-0.002971055	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.01600681	0.984121	0.984885	0.98234	0.983432	0.984295	0.985042	0.984638	0.987566	0.989385	0.98645	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.04672601	0.07552294	0.02997937	0.02375092	0.03556038	0.08769808	0.09215622	0.08914457	0.09301229
70	-1574.359	-1625.517	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.002968987	0.0007585152	-0.002971055	0.001110184	0.001839677	0.0007767385	-0.0004095664	-0.002587288	0.0008774975	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.04427276	0.956693	0.959538	0.960266	0.957417	0.95848	0.960245	0.960991	0.960598	0.958116	0.958957	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09215622	0.03556038	0.09301229	0.02997937	0.08914457	0.04672601	0.08769808	0.07552294	0.02375092
80	-1574.144	-1625.302	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	0.002968987	-0.002971055	0.0007585152	0.001839677	0.001110184	-0.0004095664	0.0007767385	0.0008774975	-0.002587288	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.04056503	0.960247	0.963102	0.960245	0.960973	0.962743	0.963812	0.963418	0.964166	0.965013	0.962519	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.09215622	0.09301229	0.03556038	0.08914457	0.02997937	0.08769808	0.04672601	0.02375092	0.07552294
90	-1574.184	-1625.342	51.15772	-0.003375712	0.006796717	0.002779811	-0.005413642	-0.0360585	0.01129893	-0.002915134	-0.01737193	0.0370792	-0.0004095664	0.001839677	0.0008774975	-0.002971055	-0.002587288	0.002968987	0.0007767385	0.0007585152	0.001110184	1	0.99663	1.00343	1.00622	1.00079	0.965343	0.976313	0.973471	0.956706	0.992845	4.043887	0	-0.02105773	0.979162	0.978761	0.980564	0.981425	0.978513	0.975985	0.978887	0.979647	0.980391	0.98148	0.6794359	0.0864913	0.07448391	0.05883076	0.08175471	0.09763802	0.08315141	0.02604246	0.09703096	0.08269781	0.08769808	0.08914457	0.02375092	0.09301229	0.07552294	0.09215622	0.04672601	0.03556038	0.02997937
