Iteration	Replicate_ID	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
0	0	-2040.455	-2091.613	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1	1	-2024.172	-2091.613	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2	0	-1574.887	-1626.045	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
3	1	-1558.804	-1626.246	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
4	0	-1573.918	-1625.075	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
5	1	-1558.276	-1625.717	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
6	0	-1573.939	-1625.097	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
7	1	-1558.481	-1625.923	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
8	0	-1574.213	-1625.37	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
9	1	-1557.641	-1625.082	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
10	0	-1574.23	-1625.388	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
11	1	-1557.727	-1625.168	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
12	0	-1574.537	-1625.695	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
13	1	-1557.855	-1625.296	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
14	0	-1574.359	-1625.517	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
15	1	-1557.922	-1625.363	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
16	0	-1574.144	-1625.302	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
17	1	-1558.166	-1625.608	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
18	0	-1574.184	-1625.342	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
19	1	-1558.656	-1626.097	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
20	0	-1575.486	-1626.643	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
21	1	-1557.743	-1625.184	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
22	0	-1573.955	-1625.112	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
23	1	-1557.731	-1625.173	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
24	0	-1574.11	-1625.268	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
25	1	-1557.626	-1625.068	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
26	0	-1573.909	-1625.067	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
27	1	-1557.727	-1625.168	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
28	0	-1575.005	-1626.162	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
29	1	-1557.751	-1625.193	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
30	0	-1573.91	-1625.068	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
31	1	-1558.071	-1625.513	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
32	0	-1574.11	-1625.268	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
33	1	-1559.163	-1626.604	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
34	0	-1573.946	-1625.104	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
35	1	-1557.628	-1625.07	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
36	0	-1573.929	-1625.087	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
37	1	-1558.983	-1626.425	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
38	0	-1574.592	-1625.75	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
39	1	-1557.626	-1625.067	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
40	0	-1573.926	-1625.084	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
41	1	-1557.658	-1625.099	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
42	0	-1574.181	-1625.338	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
43	1	-1557.993	-1625.434	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
44	0	-1579.167	-1630.325	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
45	1	-1558.013	-1625.454	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
46	0	-1574.195	-1625.353	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
47	1	-1557.736	-1625.178	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
48	0	-1573.919	-1625.076	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
49	1	-1557.822	-1625.264	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
50	0	-1573.915	-1625.072	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
51	1	-1557.635	-1625.076	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
52	0	-1573.965	-1625.123	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
53	1	-1557.631	-1625.073	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
