Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
0	-2024.172	-2091.613	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
10	-1558.804	-1626.246	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
20	-1558.276	-1625.717	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
30	-1558.481	-1625.923	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
40	-1557.641	-1625.082	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
50	-1557.727	-1625.168	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
60	-1557.855	-1625.296	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
70	-1557.922	-1625.363	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
80	-1558.166	-1625.608	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
90	-1558.656	-1626.097	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
100	-1557.743	-1625.184	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
110	-1557.731	-1625.173	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
120	-1557.626	-1625.068	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
130	-1557.727	-1625.168	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
140	-1557.751	-1625.193	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
150	-1558.071	-1625.513	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
160	-1559.163	-1626.604	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
170	-1557.628	-1625.07	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
180	-1558.983	-1626.425	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
190	-1557.626	-1625.067	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
200	-1557.658	-1625.099	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
210	-1557.993	-1625.434	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
220	-1558.013	-1625.454	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
230	-1557.736	-1625.178	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
240	-1557.822	-1625.264	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
250	-1557.635	-1625.076	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
260	-1557.631	-1625.073	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
270	-1557.978	-1625.419	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
280	-1557.688	-1625.129	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
290	-1558.24	-1625.681	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
300	-1558.855	-1626.296	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
