"","tree","spcd","spgrpcd","plot","subp","condid","unitcd","ht","htcd","actualht","totage","dia","bhage","countycd"
"1",3,95,6,20005,1,1,1,47,1,47,NA,9,NA,17
"2",7,746,37,20005,1,1,1,71,1,71,NA,12.6,NA,17
"3",8,746,37,20005,1,1,1,60,2,18,NA,8.6,NA,17
"4",10,746,37,20005,1,1,1,70,1,70,NA,11,NA,17
"5",12,746,37,20005,1,1,1,67,1,67,NA,8,NA,17
"6",13,95,6,20005,1,1,1,46,1,46,NA,8.6,NA,17
"7",18,12,6,20005,1,1,1,44,1,44,NA,7.9,NA,17
"8",19,95,6,20005,1,1,1,42,3,42,NA,9.8,NA,17
"9",20,95,6,20005,1,1,1,45,3,45,NA,7.9,NA,17
"10",21,95,6,20005,1,1,1,36,2,12,NA,5.2,NA,17
"11",22,12,6,20005,1,1,1,11,3,11,NA,1.5,NA,17
"12",1,95,6,20005,2,1,1,49,1,49,NA,10,NA,17
"13",4,746,37,20005,2,1,1,NA,NA,NA,NA,NA,NA,17
"14",5,12,6,20005,2,1,1,14,3,14,NA,1.6,NA,17
"15",1,746,37,20005,3,1,1,82,1,82,NA,13.8,NA,17
"16",2,746,37,20005,3,1,1,80,1,80,NA,11.7,NA,17
"17",3,746,37,20005,3,1,1,72,2,28,NA,12.4,NA,17
"18",4,746,37,20005,3,1,1,NA,NA,NA,NA,NA,NA,17
"19",5,94,6,20005,3,1,1,78,1,78,NA,18.4,NA,17
"20",6,746,37,20005,3,1,1,82,3,82,NA,18.2,NA,17
"21",7,12,6,20005,3,1,1,42,1,42,NA,5.4,NA,17
"22",8,12,6,20005,3,1,1,21,3,21,NA,2.3,NA,17
"23",9,12,6,20005,3,1,1,18,3,18,NA,2.2,NA,17
"24",10,12,6,20005,3,1,1,51,1,51,NA,6.7,NA,17
"25",11,12,6,20005,3,1,1,22,3,22,NA,2.6,NA,17
"26",12,12,6,20005,3,1,1,17,3,17,NA,1.3,NA,17
"27",13,12,6,20005,3,1,1,34,1,34,NA,6.7,NA,17
"28",14,12,6,20005,3,1,1,40,1,40,NA,5.1,NA,17
"29",15,12,6,20005,3,1,1,38,1,38,NA,5.2,NA,17
"30",16,12,6,20005,3,1,1,42,1,42,NA,5.4,NA,17
"31",2,746,37,20019,4,2,1,74,1,74,NA,10.2,NA,17
