"","LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr","X"
"1","Swaine","Emily",51,"Tropical Plant Traits From Borneo Database","Nephelium ramboutan-ake",38067,"Nephelium ramboutan-ake",94904,1032804,926,"Leaf area index (LAI) of a single plant",384,"LAI of respective plant","LAI","2.82166134584451","unitless","",NA,"","",NA,"",NA,NA,NA,"Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.","Leaf area index:  leaf area/canopy area (m2 per m2)","",NA
"2","Swaine","Emily",51,"Tropical Plant Traits From Borneo Database","Nephelium ramboutan-ake",38067,"Nephelium ramboutan-ake",94904,1032808,12,"Leaf lifespan (longevity)",13,"Leaf lifespan (longevity, retention time, LL, LLS)","LL","94.6478184894971","months","Single",NA,"","",94.6478184894971,"month",NA,NA,4.55257,"Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.","Leaf longevity LL = (Nta/d + [Nt1 - Nta]/b) x (t2 - t1)  where Nta is the number of leaves present at t1 plus the number of leaves produced between t1 and t2, d is the number of leaves lost between enumerations, Nt1 the initial number of leaves present, and b the number of leaves produced between enumerations","",NA
"3","Swaine","Emily",51,"Tropical Plant Traits From Borneo Database","Nephelium ramboutan-ake",38067,"Nephelium ramboutan-ake",94904,1032819,24,"Bark thickness",28,"Stem bark thickness","Bark thick","0.3475","mm","Single",NA,"","",0.3475,"mm",NA,NA,3.18358,"Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.","Bark thickness Mean thickness of five measurements along main stem","",NA
"4","Kleyer","Michael",25,"The LEDA Traitbase","Acer campestre",797,"Acer campestre",206836,2187738,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",6584,"SLA: undefined if petiole in- or excluded","SLA: undefined if petiole and rachis in- or excluded","9.63","mm2/mg","Best estimate",NA,"","",9.63,"mm2 mg-1",NA,NA,2.39419,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.","","",NA
"5","Kleyer","Michael",25,"The LEDA Traitbase","Acer campestre",797,"Acer campestre",1123188,2187744,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",6584,"SLA: undefined if petiole in- or excluded","SLA: undefined if petiole and rachis in- or excluded","9.63","mm2/mg","Mean",NA,"","",9.63,"mm2 mg-1",NA,2187738,2.39419,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.","","",NA
"6","Kleyer","Michael",25,"The LEDA Traitbase","Acer campestre",797,"Acer campestre",206840,2187789,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",6584,"SLA: undefined if petiole in- or excluded","SLA: undefined if petiole and rachis in- or excluded","23.2","mm2/mg","Best estimate",NA,"","",23.2,"mm2 mg-1",NA,NA,2.49225,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.","","",NA
"7","Kleyer","Michael",25,"The LEDA Traitbase","Acer campestre",797,"Acer campestre",1123195,2187795,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",6584,"SLA: undefined if petiole in- or excluded","SLA: undefined if petiole and rachis in- or excluded","23.2","mm2/mg","Mean",NA,"","",23.2,"mm2 mg-1",NA,2187789,2.49225,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.","","",NA
"8","Kleyer","Michael",25,"The LEDA Traitbase","Acer negundo",841,"Acer negundo",206848,2187898,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",6584,"SLA: undefined if petiole in- or excluded","SLA: undefined if petiole and rachis in- or excluded","23.2","mm2/mg","Best estimate",NA,"","",23.2,"mm2 mg-1",NA,31780325,1.13702,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.","","",NA
"9","Kleyer","Michael",25,"The LEDA Traitbase","Acer negundo",841,"Acer negundo",1123203,2187904,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",6584,"SLA: undefined if petiole in- or excluded","SLA: undefined if petiole and rachis in- or excluded","23.2","mm2/mg","Mean",NA,"","",23.2,"mm2 mg-1",NA,31780325,1.13702,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.","","",NA
"10","Kleyer","Michael",25,"The LEDA Traitbase","Acer pseudoplatanus",855,"Acer pseudoplatanus",206858,2188027,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",6584,"SLA: undefined if petiole in- or excluded","SLA: undefined if petiole and rachis in- or excluded","19.6","mm2/mg","Best estimate",NA,"","",19.6,"mm2 mg-1",NA,NA,1.06905,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.","","",NA
