"","SCIENTIFIC_NAME"
"1","Terminalia kaernbachii"
"2","Terminalia myriocarpa"
"3","Terminalia oblonga"
"4","Terminalia richii"
"5","Terminalia samoensis"
"6","Terminalia superba"
"7","Ternstroemia heptasepala"
"8","Ternstroemia luquillensis"
"9","Ternstroemia peduncularis"
"10","Ternstroemia stahlii"
"11","Ternstroemia subsessilis"
"12","Tetragastris balsamifera"
"13","Tetraplasandra flynnii"
"14","Tetraplasandra gymnocarpa"
"15","Tetraplasandra hawaiensis"
"16","Tetraplasandra kavaiensis"
"17","Tetraplasandra oahuensis"
"18","Tetraplasandra spp."
"19","Tetraplasandra waialealae"
"20","Tetraplasandra waimeae"
"21","Tetrazygia angustifolia"
"22","Tetrazygia bicolor"
"23","Tetrazygia biflora"
"24","Tetrazygia elaeagnoides"
"25","Tetrazygia urbanii"
"26","Theobroma cacao"
"27","Thespesia grandiflora"
"28","Thespesia populnea"
"29","Thespesia spp."
"30","Thevetia peruviana"
"31","Thouinia striata"
"32","Thouinia striata var. portoricensis"
"33","Timonius albus"
"34","Timonius ledermannii"
"35","Timonius ponapensis"
"36","Tibouchina granulosa"
"37","Tibouchina spp."
"38","Tibouchina urvilleana"
"39","Timonius corymbosus"
"40","Timonius mollis"
"41","Timonius spp."
"42","Timonius subauritus"
"43","Timonius timon"
"44","Toona spp."
"45","Toona ciliata"
"46","Tilia cordata"
"47","Tilia tomentosa"
"48","Tipuana tipu"
"49","Torralbasia cuneifolia"
"50","Trachycarpus fortunei"
"51","Touchardia latifolia"
"52","Touchardia spp."
"53","Tournefortia argentea"
"54","Tournefortia filiflora"
"55","Tournefortia spp."
"56","Trema cannabina"
"57","Trema lamarckiana"
"58","Trema micrantha"
"59","Toxicodendron vernix"
"60","Trema orientalis"
"61","Trema spp."
"62","Trichilia hirta"
"63","Trichilia pallida"
"64","Trichilia triacantha"
"65","Trichospermum ikutai"
"66","Trichospermum ledermannii"
"67","Trichospermum richii"
"68","Triphasia trifolia"
"69","Triplaris spp."
"70","Triplaris cumingiana"
"71","Tristiropsis obtusangula"
"72","Trophis racemosa"
"73","Trukia carolinensis"
