"scientific_name","genus","InterviewMN_Y"
"Acer macrophyllum","Acer","Y"
"Acer negundo","Acer","Y"
"Acer nigrum","Acer","Y"
"Acer pensylvanicum","Acer","Y"
"Acer rubrum","Acer","Y"
"Acer saccharinum","Acer","Y"
"Acer saccharum","Acer","Y"
"Acer spicatum","Acer","Y"
"Acer glabrum","Acer","Y"
"Acer grandidentatum","Acer","Y"
"Acer leucoderme","Acer","Y"
"Carya aquatica","Carya","N"
"Carya cordiformis","Carya","N"
"Carya glabra","Carya","N"
"Carya illinoinensis","Carya","N"
"Carya laciniosa","Carya","N"
"Carya myristiciformis","Carya","N"
"Carya ovata","Carya","N"
"Carya texana","Carya","N"
"Carya pallida","Carya","N"
"Carya floridana","Carya","N"
"Crataegus crus-galli","Crataegus","N"
"Crataegus mollis","Crataegus","N"
"Crataegus brainerdii","Crataegus","N"
"Crataegus calpodendron","Crataegus","N"
"Crataegus chrysocarpa","Crataegus","N"
"Crataegus flabellata","Crataegus","N"
"Crataegus monogyna","Crataegus","N"
"Fraxinus americana","Fraxinus","Y"
"Fraxinus latifolia","Fraxinus","Y"
"Fraxinus nigra","Fraxinus","Y"
"Fraxinus pennsylvanica","Fraxinus","Y"
"Fraxinus profunda","Fraxinus","Y"
"Fraxinus quadrangulata","Fraxinus","Y"
"Fraxinus velutina","Fraxinus","Y"
"Fraxinus caroliniana","Fraxinus","Y"
"Populus balsamifera","Populus","Y"
"Populus deltoides","Populus","Y"
"Populus grandidentata","Populus","Y"
"Populus heterophylla","Populus","Y"
"Populus tremuloides","Populus","Y"
"Populus fremontii","Populus","Y"
"Populus angustifolia","Populus","Y"
"Prunus pensylvanica","Prunus","N"
"Prunus serotina","Prunus","N"
"Prunus virginiana","Prunus","N"
"Prunus nigra","Prunus","N"
"Prunus americana","Prunus","N"
"Prunus emarginata","Prunus","N"
"Prunus angustifolia","Prunus","N"
"Quercus agrifolia","Quercus","Y"
"Quercus alba","Quercus","Y"
"Quercus arizonica","Quercus","Y"
"Quercus bicolor","Quercus","Y"
"Quercus chrysolepis","Quercus","Y"
"Quercus coccinea","Quercus","Y"
"Quercus douglasii","Quercus","Y"
"Quercus ellipsoidalis","Quercus","Y"
"Quercus emoryi","Quercus","Y"
"Quercus engelmannii","Quercus","Y"
"Quercus falcata","Quercus","Y"
"Quercus pagoda","Quercus","Y"
"Quercus gambelii","Quercus","Y"
"Quercus garryana","Quercus","Y"
"Quercus ilicifolia","Quercus","Y"
"Quercus imbricaria","Quercus","Y"
"Quercus kelloggii","Quercus","Y"
"Quercus laevis","Quercus","Y"
"Quercus laurifolia","Quercus","Y"
"Quercus lobata","Quercus","Y"
"Quercus lyrata","Quercus","Y"
"Quercus macrocarpa","Quercus","Y"
"Quercus marilandica","Quercus","Y"
"Quercus michauxii","Quercus","Y"
"Quercus muehlenbergii","Quercus","Y"
"Quercus nigra","Quercus","Y"
"Quercus texana","Quercus","Y"
"Quercus oblongifolia","Quercus","Y"
"Quercus palustris","Quercus","Y"
"Quercus phellos","Quercus","Y"
"Quercus rubra","Quercus","Y"
"Quercus shumardii","Quercus","Y"
"Quercus stellata","Quercus","Y"
"Quercus similis","Quercus","Y"
"Quercus velutina","Quercus","Y"
"Quercus virginiana","Quercus","Y"
"Quercus wislizeni","Quercus","Y"
"Quercus minima","Quercus","Y"
"Quercus incana","Quercus","Y"
"Quercus hypoleucoides","Quercus","Y"
"Quercus oglethorpensis","Quercus","Y"
"Quercus prinoides","Quercus","Y"
"Quercus grisea","Quercus","Y"
"Quercus rugosa","Quercus","Y"
"Quercus graciliformis","Quercus","Y"
"Salix amygdaloides","Salix","N"
"Salix nigra","Salix","N"
"Salix bebbiana","Salix","N"
"Salix bonplandiana","Salix","N"
"Salix caroliniana","Salix","N"
"Salix pyrifolia","Salix","N"
"Salix scouleriana","Salix","N"
"Tilia americana","Tilia","Y"
"Ulmus alata","Ulmus","Y"
"Ulmus americana","Ulmus","Y"
"Ulmus crassifolia","Ulmus","Y"
"Ulmus rubra","Ulmus","Y"
"Ulmus serotina","Ulmus","Y"
"Ulmus thomasii","Ulmus","Y"
"Crataegus phaenopyrum","Crataegus","N"
"Crataegus succulenta","Crataegus","N"
"Crataegus uniflora","Crataegus","N"
"Acer circinatum","Acer","Y"
"Fraxinus berlandieriana","Fraxinus","Y"
"Prunus caroliniana","Prunus","N"
"Prunus myrtifolia","Prunus","N"
"Quercus austrina","Quercus","Y"
"Quercus fusiformis","Quercus","Y"
"Quercus geminata","Quercus","Y"
"Quercus hemisphaerica","Quercus","Y"
"Quercus pungens","Quercus","Y"
"Quercus tardifolia","Quercus","Y"
"Quercus toumeyi","Quercus","Y"
"Quercus turbinella","Quercus","Y"
"Quercus vaseyana","Quercus","Y"
"Quercus robusta","Quercus","Y"
"Salix discolor","Salix","N"
"Salix lasiolepis","Salix","N"
"Salix sitchensis","Salix","N"
"Salix gooddingii","Salix","N"
"Quercus gravesii","Quercus","Y"
"Quercus polymorpha","Quercus","Y"
"Quercus buckleyi","Quercus","Y"
"Quercus laceyi","Quercus","Y"
"Salix lutea","Salix","N"
"Salix planifolia","Salix","N"
"Salix sericea","Salix","N"
"Quercus arkansana","Quercus","Y"
"Quercus georgiana","Quercus","Y"
"Quercus havardii","Quercus","Y"
"Quercus myrtifolia","Quercus","Y"
"Quercus sinuata","Quercus","Y"
"Fraxinus gooddingii","Fraxinus","Y"
"Salix geyeriana","Salix","N"
"Salix laevigata","Salix","N"
"Prunus mexicana","Prunus","N"
