Family,Genus,Species Name,Authority,*Taxonomic Notes,Country Distribution,Endemic,State Distribution,IUCN Red List Assessment,IUCN Red List Assessment Year,NatureServe Grank,NatureServe Grank Year,Federal Listing Status,Federal Listing Year,Ex-situ Collections
Pinaceae,Abies,Abies amabilis,Douglas ex J.Forbes,,"United States, Canada",No,"AK, CA, OR, WA",Least Concern,2013,G5,2015,Not listed,Not listed,60
Pinaceae,Abies,Abies balsamea,(L.) Mill.,,"Canada, Saint Pierre and Miquelon, United States",No,"CT, IA, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV",Least Concern,2013,G5,2016,Not listed,Not listed,124
Pinaceae,Abies,Abies bracteata,(D.Don) A.Poit.,,United States,Yes,CA,Near Threatened,2013,G2,2017,Not listed,Not listed,31
Pinaceae,Abies,Abies concolor,(Gord.) Lindl.ex Hildebr.,,"Mexico, United States",No,"AZ, CA, CO, ID, MA, ME, NM, NV, OR, UT, WA, WY",Least Concern,2013,G5,1995,Not listed,Not listed,192
Pinaceae,Abies,Abies fraseri,(Pursh) Poir.,,United States,Yes,"GA, NC, TN, VA, WV",Endangered,2013,G2,2018,Not listed,Not listed,96
Pinaceae,Abies,Abies grandis,(Douglas ex D.Don) Lindl.,,"Canada, United States",No,"CA, ID, MT, OR, WA",Least Concern,2013,G5,2016,Not listed,Not listed,129
Pinaceae,Abies,Abies lasiocarpa,(Hook.) Nutt.,,"United States, Canada",No,"AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY",Least Concern,2013,G5,2016,Not listed,Not listed,88
Pinaceae,Abies,Abies magnifica,A.Murray bis,,United States,Yes,"CA, NV, NY, OR",Least Concern,2013,G5,1997,Not listed,Not listed,31
Pinaceae,Abies,Abies procera,Rehd.,,United States,Yes,"CA, OR, WA",Least Concern,2013,G5,1997,Not listed,Not listed,88
Fabaceae,Acacia,Acacia rigidula,Benth.,,"Mexico, United States",No,TX,Least Concern,2019,G5,1989,Not listed,Not listed,12
Sapindaceae,Acer,Acer circinatum,Pursh,,"Canada, United States",No,"AK, CA, OR, WA",Least Concern,2017,G5,2016,Not listed,Not listed,122
Sapindaceae,Acer,Acer floridanum,(Chapm.) Pax,,United States,Yes,"AL, AR, FL, GA, IL, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA",Least Concern,2017,G4,1988,Not listed,Not listed,3
Sapindaceae,Acer,Acer glabrum,Torr.,,"Canada, United States",No,"AK, AZ, CA, CO, ID, MT, NE, NM, NV, OR, SD, UT, WA, WY",Least Concern,2018,G5,2016,Not listed,Not listed,52
Sapindaceae,Acer,Acer grandidentatum,Nutt.,,"Mexico, United States",No,"AZ, CO, ID, NM, NV, OK, TX, UT, WA, WY",Least Concern,2017,G4,2004,Not listed,Not listed,31
Sapindaceae,Acer,Acer leucoderme,Small,,United States,Yes,"AL, AR, DC, FL, GA, LA, MS, NC, OK, SC, TN, TX",Least Concern,2017,G5,2003,Not listed,Not listed,23
Sapindaceae,Acer,Acer macrophyllum,Pursh,,"Canada, United States",No,"CA, OR, WA",Least Concern,2017,G5,2016,Not listed,Not listed,112
Sapindaceae,Acer,Acer negundo,L.,,"Guatemala, Honduras, Mexico, United States, Canada",No,"AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Least Concern,2017,G5,2016,Not listed,Not listed,232
Sapindaceae,Acer,Acer nigrum,F.Michx.,,"Canada, United States",No,"AL, AR, CT, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NH, NJ, NY, OH, PA, SD, TN, VA, VT, WI, WV",Least Concern,2017,G5,2016,Not listed,Not listed,38
Sapindaceae,Acer,Acer pensylvanicum,L.,,"Canada, United States",No,"CT, DC, GA, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV",Least Concern,2017,G5,2016,Not listed,Not listed,152
Sapindaceae,Acer,Acer rubrum,L.,,"Canada, United States",No,"AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Least Concern,2017,G5,2016,Not listed,Not listed,251
Sapindaceae,Acer,Acer saccharinum,L.,,"Canada, United States",No,"AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV",Least Concern,2017,G5,2016,Not listed,Not listed,185
Sapindaceae,Acer,Acer saccharum,Marshall,,"Canada, United States",No,"AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV",Least Concern,2017,G5,2016,Not listed,Not listed,227
Sapindaceae,Acer,Acer spicatum,Lam.,,"Canada, United States",No,"CT, GA, IA, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV",Least Concern,2018,G5,2016,Not listed,Not listed,95
Arecaceae,Acoelorraphe,Acoelorraphe wrightii,(Griseb. & H.Wendl.) H.Wendl. ex Becc.,,"Colombia, United States, Nicaragua, Mexico, Honduras, Guatemala, Costa Rica, Belize, Bahamas, Cuba",No,FL,Least Concern (ESTIMATED),ESTIMATED ASSESSMENT,G4,1998,Not listed,Not listed,14
Rosaceae,Adenostoma,Adenostoma sparsifolium,Torr.,,"Mexico, United States",No,CA,Least Concern,2020,G4,1988,Not listed,Not listed,13
Schisandraceae,Aesculus,Aesculus californica,(Spach) Nutt.,,United States,Yes,CA,Least Concern,2020,G5,1988,Not listed,Not listed,84
Schisandraceae,Aesculus,Aesculus flava,Sol.,,United States,Yes,"AL, GA, IL, IN, KY, MD, MS, NC, NJ, OH, PA, SC, TN, VA, WV",Least Concern,2018,G5,1996,Not listed,Not listed,146
Schisandraceae,Aesculus,Aesculus glabra,Willd.,,"United States, Canada",No,"AL, AR, GA, IA, IL, IN, KS, KY, ME, MI, MN, MO, MS, NE, NH, NJ, NY, OH, OK, PA, TN, TX, WI, WV, WY",Least Concern,2018,G5,1984,Not listed,Not listed,141
Schisandraceae,Aesculus,Aesculus parviflora,Walter,,United States,Yes,"AL, DC, GA, NJ, PA, SC",Least Concern,2020,G3,2004,Not listed,Not listed,207
Schisandraceae,Aesculus,Aesculus pavia,L.,,United States,Yes,"AL, AR, FL, GA, IL, KY, LA, MO, MS, NC, OK, SC, TN, TX, WV",Least Concern,2020,G5,1985,Not listed,Not listed,146
Schisandraceae,Aesculus,Aesculus sylvatica,W.Bartram,,United States,Yes,"AL, FL, GA, KY, NC, SC, TN, VA",Least Concern,2020,G5,1988,Not listed,Not listed,49
Betulaceae,Alnus,Alnus alnobetula,(Ehrh.) K.Koch,,"Switzerland, Monaco, Mongolia, Montenegro, Poland, Romania, Russian Federation, San Marino, Serbia, Slovenia, Ukraine, United States, Croatia, Moldova, Slovakia, China, Macedonia, the former Yugoslav Republic of, Belarus, Bosnia and Herzegovina, Canada, France, Czech Republic, Japan, Germany, Greenland, Hungary, Italy, Austria, Bulgaria, Liechtenstein",No,"AK, CA, ID, MA, ME, MI, MN, MT, NC, NH, NY, OR, PA, TN, VT, WA, WI, WY",Least Concern,2016,G5,2015,Not listed,Not listed,21
Betulaceae,Alnus,Alnus incana,(L.) Moench,,"Poland, Norway, Netherlands, Montenegro, Macedonia, the former Yugoslav Republic of, Romania, Ukraine, Moldova, Russian Federation, Saint Pierre and Miquelon, Serbia, Slovakia, Slovenia, Sweden, Turkey, Latvia, United States, Switzerland, Austria, Lithuania, Armenia, Liechtenstein, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, Canada, Czech Republic, Estonia, Finland, France, Georgia, Germany, Hungary, Italy, Albania, Croatia",No,"AK, AZ, CA, CO, CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, UT, VA, VT, WA, WI, WV, WY",Least Concern,2014,G5,2015,Not listed,Not listed,109
Betulaceae,Alnus,Alnus maritima,(Marshall) Muhl. ex Nutt.,,United States,Yes,"DE, GA, MD(.1), OK",Endangered,2016,G3,1997,Not listed,Not listed,31
Betulaceae,Alnus,Alnus oblongifolia,Torr.,,"Mexico, United States",No,"AZ, NM",Least Concern,2014,G3,1991,Not listed,Not listed,11
Betulaceae,Alnus,Alnus rhombifolia,Nutt.,,"United States, Mexico",No,"CA, ID, NV, OR, WA",Least Concern,2014,G5,1988,Not listed,Not listed,40
Betulaceae,Alnus,Alnus rubra,Bong.,,"Canada, United States",No,"AK, CA, ID, MT, OR, WA",Least Concern,2014,G5,2015,Not listed,Not listed,79
Betulaceae,Alnus,Alnus serrulata,(Aiton) Willd.,,"United States, Canada",No,"AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV",Least Concern,2014,G5,2015,Not listed,Not listed,74
Simaroubaceae,Alvaradoa,Alvaradoa amorphoides,Liebm.,,"United States, Nicaragua, Guatemala, Mexico, Honduras, Cuba, Costa Rica, Cayman Islands, Bahamas, Belize, El Salvador",No,FL,Least Concern,2019,G5,1996,Not listed,Not listed,11
