"","spp_name","trait_name","value","unit_name","source","id_dfdo","comment","kind"
"1","Nephelium ramboutan-ake","Leaf lifespan (longevity)",94.6478184894971,"month","TRY.Tropical Plant Traits From Borneo Database","51_13_94904","Leaf longevity LL = (Nta/d + [Nt1 - Nta]/b)  (t2 - t1)  where Nta is the number of leaves present at t1 plus the number of leaves produced between t1 and t2, d is the number of leaves lost between enumerations, Nt1 the initial number of leaves present, and b the number of leaves produced between enumerations","Single"
"2","Nephelium ramboutan-ake","Bark thickness",0.3475,"mm","TRY.Tropical Plant Traits From Borneo Database","51_28_94904","Bark thickness Mean thickness of five measurements along main stem","Single"
"3","Acer campestre","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",9.63,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_206836"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"4","Acer campestre","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",23.2,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_206840"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"5","Acer negundo","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",23.2,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_206848"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"6","Acer pseudoplatanus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",19.6,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_206858"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"7","Acer saccharinum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",29.7,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_206866"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"8","Ailanthus altissima","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",17.78,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_206983"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"9","Arbutus unedo","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",6.09,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_207285"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"10","Betula pendula","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",33.4,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_207541"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"11","Betula pubescens","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",12.8,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_207546"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"12","Betula pubescens","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",14.4,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_207548"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"13","Betula pubescens","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",14.5,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_207549"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"14","Betula pubescens","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",15.87,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_207550"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"15","Carpinus betulus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",19.5,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_208060"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"16","Carpinus betulus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",11.9,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_208063"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"17","Ceratonia siliqua","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",3.96,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_208168"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"18","Crataegus monogyna","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",15.8,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_208453"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"19","Crataegus monogyna","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",8.7,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_208454"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
