"spp_name","trait_name","value","unit","comment","kind","source"
"Cornutia pyramidata","Plant height (maximum)",14.53115047,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cornutia pyramidata","Leaf nitrogen concentration",38.80610014,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cornutia pyramidata","Wood Density",0.460044666,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cornutia pyramidata","Leaf phosphorous concentration",1.291219274,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cornutia pyramidata","Leaf Dry Matter Content",0.256153326,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cornutia pyramidata","Seed Dry Mass",43.87326951,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cornutia pyramidata","SLA",24.24376134,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cornutia pyramidata","Leaf area",10695.47311,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cornutia obovata","Plant height (maximum)",15.18098671,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cornutia obovata","Leaf nitrogen concentration",45.8986593,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cornutia obovata","Wood Density",0.447610226,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cornutia obovata","Leaf phosphorous concentration",1.341219935,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cornutia obovata","Leaf Dry Matter Content",0.243837221,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cornutia obovata","Seed Dry Mass",49.59067275,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cornutia obovata","SLA",28.4708216,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cornutia obovata","Leaf area",15885.46749,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Pongamia pinnata","Plant height (maximum)",17.85665056,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Pongamia pinnata","Leaf nitrogen concentration",11.86041813,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Pongamia pinnata","Wood Density",0.647142616,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Pongamia pinnata","Leaf phosphorous concentration",1.057060878,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Pongamia pinnata","Leaf Dry Matter Content",0.46816614,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Pongamia pinnata","Seed Dry Mass",68.96043622,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Pongamia pinnata","SLA",7.433613897,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Pongamia pinnata","Leaf area",682.1815979,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Hebestigma cubense","Plant height (maximum)",16.32300073,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
