"spp_name","trait_name","value","unit","kind","source","comment"
"Abies amabilis","gsmax",145.146428178151,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies amabilis","P12",-3.97783142497142,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies amabilis","P50",-3.9345225473245,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies amabilis","P88",-5.00384484052658,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies amabilis","Rooting Depth maximum",1.69790147573377,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies amabilis","WUE",6.3774124165376,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies amabilis","height",51.2673890050252,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies amabilis","SLA",11.3181535975138,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies amabilis","LeafN",9.86452300071716,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies balsamea","gsmax",67.8532221857707,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies balsamea","P12",-2.07649829546611,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies balsamea","P50",-2.78135293285052,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies balsamea","P88",-3.4623175128301,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies balsamea","Rooting Depth maximum",1.14603104670842,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies balsamea","WUE",7.32463313231866,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies balsamea","height",24.5545915985107,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies balsamea","SLA",14.0329328568776,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies balsamea","LeafN",14.5738092803955,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies bracteata","gsmax",140.979600817362,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies bracteata","P12",-2.44107767452796,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies bracteata","P50",-3.49415326674779,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies bracteata","P88",-4.44360877116521,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies bracteata","Rooting Depth maximum",1.98498819942276,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies bracteata","WUE",9.37107072919607,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies bracteata","height",30.8588978258769,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies bracteata","SLA",9.11528000354767,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies bracteata","LeafN",12.9334184455872,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies concolor","gsmax",133.264000542959,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies concolor","P12",-3.70898018320402,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies concolor","P50",-4.63796782970428,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies concolor","P88",-5.60041313648224,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies concolor","Rooting Depth maximum",2.15912726584201,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies concolor","WUE",9.95343199541171,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies concolor","height",49.455188814799,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies concolor","SLA",5.64569600423177,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies concolor","LeafN",12.9818808205922,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies fraseri","gsmax",99.4778532218933,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies fraseri","P12",-2.32368594845136,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies fraseri","P50",-2.80947244783243,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies fraseri","P88",-3.98921216805776,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies fraseri","Rooting Depth maximum",1.36463324148208,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies fraseri","WUE",10.6980037593842,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies fraseri","height",24.5545915985107,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies fraseri","SLA",14.0329328568776,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies fraseri","LeafN",15.9268360392253,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies grandis","gsmax",97.3953295898438,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies grandis","P12",-2.66868511120478,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies grandis","P50",-3.50256813605626,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies grandis","P88",-4.63838234504064,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies grandis","Rooting Depth maximum",1.63366436640422,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies grandis","WUE",3.47955544392268,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
"Abies grandis","height",50.1044354375203,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)",NA
