"spp_name","trait_name","value","unit","source","id_dfdo","comment","kind"
"Nephelium ramboutan-ake","Leaf lifespan (longevity)",94.6478184894971,"month","TRY.Tropical Plant Traits From Borneo Database","51_13_94904","Leaf longevity LL = (Nta/d + [Nt1 - Nta]/b)  (t2 - t1)  where Nta is the number of leaves present at t1 plus the number of leaves produced between t1 and t2, d is the number of leaves lost between enumerations, Nt1 the initial number of leaves present, and b the number of leaves produced between enumerations","Single"
"Nephelium ramboutan-ake","Bark thickness",0.3475,"mm","TRY.Tropical Plant Traits From Borneo Database","51_28_94904","Bark thickness Mean thickness of five measurements along main stem","Single"
"Acer campestre","SLA",9.63,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_206836"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Acer campestre","SLA",23.2,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_206840"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Acer negundo","SLA",23.2,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_206848"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Acer pseudoplatanus","SLA",19.6,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_206858"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Acer saccharinum","SLA",29.7,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_206866"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Ailanthus altissima","SLA",17.78,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_206983"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Arbutus unedo","SLA",6.09,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_207285"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Betula pendula","SLA",33.4,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_207541"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Betula pubescens","SLA",12.8,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_207546"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Betula pubescens","SLA",14.4,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_207548"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Betula pubescens","SLA",14.5,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_207549"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Betula pubescens","SLA",15.87,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_207550"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Carpinus betulus","SLA",19.5,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_208060"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Carpinus betulus","SLA",11.9,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_208063"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Ceratonia siliqua","SLA",3.96,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_208168"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Crataegus monogyna","SLA",15.8,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_208453"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Crataegus monogyna","SLA",8.7,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_208454"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Crataegus monogyna","SLA",10.63,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_208455"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
"Crataegus monogyna","SLA",10.6,"mm2 mg-1","TRY.The LEDA Traitbase","25_6584_1126710"," | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Best estimate"
