"","spp_name","trait_name","value","unit","kind","source","comment"
"1","Abarema adenophora","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 2, growth form = tree"
"2","Abarema adenophora","leaf area","7161.55","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 2, growth form = tree"
"3","Abarema adenophora","nmass","24.37396685","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 2, growth form = tree"
"4","Abarema adenophora","lma","87.06577637","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 2, growth form = tree"
"5","Abarema adenophora","ssd observed","0.64807407","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 2, growth form = tree"
"6","Abarema adenophora","ssd combined","0.64807407","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 2, growth form = tree"
"7","Abarema cochleata","leaf area","700","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 73137, growth form = tree"
"8","Abarema floribunda","leaf area","700","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 73138, growth form = tree"
"9","Abarema jupunba","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 6, growth form = tree"
"10","Abarema jupunba","leaf area","369.48","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 6, growth form = tree"
"11","Abarema jupunba","nmass","28.81538634","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 6, growth form = tree"
"12","Abarema jupunba","lma","72.11823629","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 6, growth form = tree"
"13","Abarema jupunba","plant height","35","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 6, growth form = tree"
"14","Abarema jupunba","diaspore mass","122.9509","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 6, growth form = tree"
"15","Abarema jupunba","ssd observed","0.549884719","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 6, growth form = tree"
"16","Abarema jupunba","ssd combined","0.549884719","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 6, growth form = tree"
"17","Abarema laeta","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 7, growth form = tree"
"18","Abarema laeta","nmass","48.677969","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 7, growth form = tree"
"19","Abarema laeta","lma","47.84285458","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 7, growth form = tree"
"20","Abarema macradenia","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 8, growth form = tree"
"21","Abarema macradenia","nmass","23.39","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 8, growth form = tree"
"22","Abarema macradenia","lma","134.727188","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 8, growth form = tree"
"23","Abarema macradenia","plant height","31.66636228","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 8, growth form = tree"
"24","Abarema macradenia","diaspore mass","90","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 8, growth form = tree"
"25","Abarema macradenia","ssd observed","0.43","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 8, growth form = tree"
"26","Abarema macradenia","ssd combined","0.43","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 8, growth form = tree"
"27","Abarema mataybifolia","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 9, growth form = tree"
"28","Abarema mataybifolia","nmass","36.99675631","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 9, growth form = tree"
"29","Abarema mataybifolia","lma","57.53739931","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 9, growth form = tree"
"30","Abarema mataybifolia","plant height","10","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 9, growth form = tree"
"31","Abarema mataybifolia","ssd observed","0.48","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 9, growth form = tree"
"32","Abarema mataybifolia","ssd combined","0.48","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 9, growth form = tree"
"33","Abarema piresii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 10, growth form = tree"
"34","Abarema piresii","nmass","23.1982758","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 10, growth form = tree"
"35","Abrahamia ditimena","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 44268, growth form = tree"
"36","Abrahamia ditimena","ssd observed","0.674981481","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 44268, growth form = tree"
"37","Abrahamia ditimena","ssd combined","0.674981481","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 44268, growth form = tree"
"38","Acacia abyssinica","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 143, growth form = tree"
"39","Acacia abyssinica","plant height","12.16440399","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 143, growth form = tree"
"40","Acacia abyssinica","diaspore mass","69.8545","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 143, growth form = tree"
"41","Acacia acrionastes","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 65070, growth form = tree"
"42","Acacia acrionastes","diaspore mass","20.42","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 65070, growth form = tree"
"43","Acacia acuifera","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 65071, growth form = tree"
"44","Acacia acuifera","diaspore mass","15.31","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 65071, growth form = tree"
"45","Acacia albicorticata","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 157, growth form = tree"
"46","Acacia albicorticata","ssd observed","0.49","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 157, growth form = tree"
"47","Acacia albicorticata","ssd combined","0.49","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 157, growth form = tree"
"48","Acacia alleniana","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 159, growth form = tree"
"49","Acacia alleniana","ssd observed","0.55","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 159, growth form = tree"
"50","Acacia alleniana","ssd combined","0.55","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 159, growth form = tree"
"51","Acacia allenii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 160, growth form = tree"
"52","Acacia allenii","diaspore mass","22.7","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 160, growth form = tree"
"53","Acacia amabilis","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 162, growth form = tree"
"54","Acacia amabilis","diaspore mass","181.81","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 162, growth form = tree"
