"","spp_name","trait_name","value","unit","kind","source","comment"
"1","Illicium floridanum","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Cold Tolerance, Seed Size and Height of North American Forest Tree Species",NA
"2","Illicium jiadifengpi","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"3","Illicium lanceolatum","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"4","Illicium macranthum","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"5","Illicium parviflorum","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Cold Tolerance, Seed Size and Height of North American Forest Tree Species",NA
"6","Illicium simonsii","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"7","Kadsura coccinea","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"8","Kadsura longepedunculata","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"9","Schisandra chinensis","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"10","Schisandra henryi","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"11","Schisandra sphenanthera","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau",NA
"12","Brasenia schreberi","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"13","Trithuria submersa","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"14","Nuphar advena","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | The LEDA Traitbase",NA
"15","Nuphar lutea","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Ecological Flora of the British Isles",NA
"16","Nuphar pumila","seed dispersal category","Hydrochory",NA,"TRY data","Jin et al. (2016) | Seed dispersal distance classes and dispersal modes for the European flora",NA
"17","Nymphaea alba","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Ecological Flora of the British Isles",NA
"18","Nymphaea amazonum","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"19","Nymphaea candida","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | The LEDA Traitbase",NA
"20","Nymphaea gardneriana","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"21","Nymphaea gigantea","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"22","Nymphaea glandulifera","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"23","Nymphaea jamesoniana","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"24","Nymphaea lingulata","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"25","Nymphaea nouchali","seed dispersal category","Hydrochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"26","Nymphaea oxypetala","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"27","Nymphaea prolifera","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"28","Nymphaea pulchella","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"29","Nymphaea rudgeana","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"30","Nymphaea tenerinervia","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"31","Canella winterana","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Cold Tolerance, Seed Size and Height of North American Forest Tree Species",NA
"32","Warburgia stuhlmannii","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"33","Tasmannia lanceolata","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Australian Fire Ecology Database",NA
"34","Drimys brasiliensis","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"35","Tasmannia insipida","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"36","Drimys winteri","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"37","Tasmannia vickeriana","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"38","Tasmannia xerophila","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"39","Atherosperma moschatum","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"40","Doryphora sassafras","seed dispersal category","Anemochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"41","Chimonanthus nitens","seed dispersal category","Autochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
