"","spp_name","trait_name","value","unit","kind","source","comment"
"1","Araripia florifera","ovary position","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"2","Archaeanthus linnenbergeri","no ovules","2",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"3","Archaeanthus linnenbergeri","sex of flowers","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"4","Archaeanthus linnenbergeri","ovary position","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"5","Archaeanthus linnenbergeri","fusion of ovaries","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"6","Archaefructus eoflora","sex of flowers","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"7","Canrightia resinifera","no ovules","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"8","Canrightia resinifera","sex of flowers","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"9","Canrightia resinifera","ovary position","1",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"10","Canrightia resinifera","anther attachment","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"11","Canrightia resinifera","fusion of ovaries","1",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"12","Carpestella lacunata","sex of flowers","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"13","Carpestella lacunata","ovary position","1",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"14","Catanthus dolichostemon","sex of flowers","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"15","Catanthus dolichostemon","ovary position","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"16","Catanthus dolichostemon","anther orientation","2",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"17","Catanthus dolichostemon","fusion of ovaries","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"18","Cohongarootonia hispida","no ovules","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"19","Cohongarootonia hispida","sex of flowers","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"20","Cohongarootonia hispida","ovary position","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"21","Cohongarootonia hispida","anther orientation","0&1",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"22","Cohongarootonia hispida","anther attachment","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"23","Cohongarootonia hispida","anther dehiscence","2",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"24","Dakotanthus cordiformis","sex of flowers","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"25","Dakotanthus cordiformis","ovary position","0",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
"26","Dakotanthus cordiformis","anther orientation","0&1",NA,"ancestral reconstruction","Lopez-Martinez et al. (2023) | PROTEUS",NA
