,species,family,VegMaxHeight,leafN,WDensity,leafP,LDMC,SeedDryMass,SLA,LA
1,Systemonodaphne_geminiflora,Lauraceae,5.918341211,9.460193073,0.621155021,1.01976476,0.485735673,265.705167,6.308120779,246.3769077
2,Craibella_phuyensis,Annonaceae,3.899419867,8.605973412,0.613055792,1.158777356,0.484730113,62.90714855,6.20297456,125.660852
3,Pseudannona_grandiflora,Annonaceae,2.453578741,8.248975239,0.58022976,1.73220784,0.486407206,60.24208576,7.281150367,46.76274537
4,Myrtastrum_rufopunctatum,Myrtaceae,3.710222886,9.541134103,0.540380912,1.27379635,0.435311359,8.427524039,7.981784535,265.8887731
5,Mutisiopersea_urbaniana,Lauraceae,13.10086586,14.45439771,0.609958096,0.699519781,0.424130984,426.972594,7.668315979,1518.098671
6,Mutisiopersea_costata,Lauraceae,8.800351117,10.4930079,0.629651149,0.800755629,0.471302778,283.0740119,6.130557921,537.2791656
7,Misanteca_tenuifolia,Lauraceae,6.543347724,9.687238674,0.616027358,1.023057397,0.483503921,317.9801428,6.413572375,260.1357257
8,Misanteca_mutisii,Lauraceae,9.622767661,13.11897789,0.592379472,0.916009547,0.435712481,409.0722316,7.954263981,675.9273195
9,Gamanthera_herrerae,Lauraceae,8.554605763,9.215098887,0.65841543,0.734513868,0.497393379,296.7563358,5.280803408,466.766845
10,Xylopia_mucronata,Annonaceae,14.57135705,19.12053325,0.506174194,0.910961452,0.364250369,80.33411248,9.851446428,1746.626319
11,Xylopia_longipetala,Annonaceae,14.60158497,19.86094917,0.512507234,0.846837341,0.35983218,83.42572701,9.910601186,2313.66246
12,Xylopia_dehiscens,Annonaceae,14.56129499,19.31078818,0.50722424,0.917275935,0.364502071,97.49896377,10.01613109,1798.870915
13,Xylopia_chrysophylla,Annonaceae,14.26592709,19.81070815,0.505126322,0.904690438,0.359252666,79.37797217,10.15780801,1962.004504
14,Piper_sempervirens,Piperaceae,4.843953885,29.02017319,0.455512186,1.000460623,0.27726816,1.044960803,14.98649248,3495.425096
15,Piper_secundum,Piperaceae,5.22155672,29.6414879,0.443506511,1.071272607,0.275296063,1.101032149,15.57399389,3116.018303
16,Piper_san-vicentense,Piperaceae,5.071074606,29.70297844,0.449987034,1.027542988,0.275486296,1.148418024,15.41700453,3502.676269
17,Piper_rugulosum,Piperaceae,4.912471005,28.37265649,0.459621145,0.972747224,0.28002706,1.057547785,14.49439191,3509.942485
18,Piper_propinquum,Piperaceae,5.209547473,29.20115301,0.452272311,0.993344748,0.277012904,1.019295249,14.90733462,3548.133892
19,Piper_productispicum,Piperaceae,5.114462516,28.56932635,0.451647905,1.018591388,0.2789973,1.031335578,14.79108388,3161.549603
